id,rate
681,1
682,1
683,1
684,1
687,1
431,1
432,1
433,1
690,1
434,1
691,1
721,1
692,1
694,1
435,1
436,1
723,1
696,1
697,1
699,1
724,1
438,1
701,1
439,1
440,1
702,1
725,1
703,1
441,1
442,1
706,1
443,1
444,1
445,1
711,1
712,1
713,1
446,1
447,1
448,1
351,2
371,2
372,2
722,2
700,2
783,4
356,4
843,4
301,3
321,3
561,3
401,3
731,3
562,3
951,3
402,3
630,3
921,3
381,3
602,3
971,3
322,3
323,3
302,3
403,3
533,3
571,3
732,3
861,3
973,3
603,3
604,3
922,3
352,3
791,3
572,3
605,3
353,3
606,3
573,3
574,3
733,3
491,3
923,3
382,3
383,3
534,3
404,3
863,3
575,3
761,3
536,3
762,3
385,3
386,3
952,3
901,3
735,3
953,3
924,3
492,3
763,3
405,3
537,3
925,3
975,3
662,3
493,3
948,3
538,3
663,3
607,3
563,3
781,3
494,3
495,3
866,3
664,3
326,3
976,3
539,3
576,3
303,3
608,3
841,3
577,3
852,3
578,3
665,3
867,3
782,3
579,3
406,3
609,3
927,3
928,3
977,3
407,3
408,3
610,3
737,3
979,3
929,3
409,3
580,3
931,3
954,3
541,3
980,3
784,3
496,3
581,3
739,3
582,3
362,3
540,3
738,3
304,3
564,3
565,3
305,3
869,3
870,3
411,3
611,3
412,3
872,3
873,3
354,3
355,3
612,3
413,3
566,3
414,3
666,3
329,3
902,3
842,3
667,3
903,3
584,3
585,3
387,3
792,3
388,3
542,3
614,3
331,3
497,3
586,3
955,3
306,3
415,3
332,3
587,3
543,3
307,3
390,3
785,3
333,3
615,3
437,3
544,3
742,3
668,3
875,3
876,3
545,3
546,3
669,3
547,3
616,3
498,3
670,3
743,3
981,3
617,3
877,3
982,3
417,3
588,3
764,3
878,3
357,3
983,3
418,3
619,3
934,3
629,3
935,3
589,3
334,3
620,3
391,3
766,3
985,3
622,3
744,3
363,3
392,3
936,3
745,3
309,3
310,3
567,3
336,3
767,3
879,3
590,3
337,3
338,3
339,3
904,3
623,3
905,3
420,3
880,3
956,3
987,3
881,3
853,3
393,3
746,3
591,3
549,3
906,3
786,3
708,3
747,3
624,3
311,3
748,3
855,3
341,3
988,3
312,3
709,3
883,3
907,3
938,3
499,3
768,3
793,3
939,3
358,3
749,3
957,3
750,3
625,3
751,3
941,3
989,3
942,3
342,3
884,3
958,3
500,3
631,3
908,3
909,3
501,3
756,3
943,3
944,3
945,3
593,3
344,3
551,3
885,3
552,3
359,3
502,3
946,3
888,3
626,3
754,3
959,3
992,3
993,3
886,3
394,3
632,3
995,3
553,3
594,3
554,3
671,3
769,3
360,3
996,3
627,3
755,3
345,3
424,3
960,3
628,3
556,3
361,3
557,3
794,3
947,3
